name,anime_id,type,episodes,rating,members
Ginga Tetsudou 999 (Movie),1301,Movie,1,7.76,7237
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,18619,OVA,1,7.76,16143
Hakuouki Hekketsuroku,9065,TV,10,7.76,49771
Hetalia Axis Powers,5060,ONA,52,7.76,144898
Itazura na Kiss,3731,TV,25,7.76,136279
Lupin III,1412,TV,23,7.76,34373
Mahouka Koukou no Rettousei,20785,TV,26,7.76,285317
Majin Tantei Nougami Neuro,2985,TV,25,7.76,42730
Master Keaton,1483,TV,24,7.76,9610
No.6,10161,TV,11,7.76,168017
One Piece Movie 4: Dead End no Bouken,462,Movie,1,7.76,39946
Senjou no Valkyria,5507,TV,26,7.76,77591
Tegamibachi,6444,TV,25,7.76,70987
Towa no Quon 4: Guren no Shoushin,10715,Movie,1,7.76,18545
Turn A Gundam,95,TV,50,7.76,20056
Bleach Movie 4: Jigoku-hen,8247,Movie,1,7.75,94074
D-Frag!,20031,TV,12,7.75,154548
Detective Conan Movie 09: Promo Special,7471,Special,1,7.75,4172
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,986,Special,1,7.75,46276
Go! Princess Precure,28669,TV,50,7.74,5098
Hayate no Gotoku!,2026,TV,52,7.75,130085
InuYasha: Kagami no Naka no Mugenjo,450,Movie,1,7.75,54854
Kanojo to Kanojo no Neko: Everything Flows,32491,TV,4,7.75,38765
Kara no Kyoukai Remix: Gate of Seventh Heaven,6624,Movie,1,7.75,24735
Kino no Tabi: The Beautiful World - Tou no Kuni,3466,Special,1,7.75,19211
Kono Danshi  Ningyo Hiroimashita.,15439,OVA,1,7.75,14775
Kuroko no Basket: Baka ja Katenai no yo!,19669,OVA,1,7.75,26785
Kyoukai no Kanata Movie: I&#039;ll Be Here - Kako-hen,25015,Movie,1,7.75,42304
Mahoujin Guru Guru,331,TV,45,7.75,3725
One Piece: Heart of Gold,33338,Special,1,7.75,17443
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,23777,Movie,1,7.75,26958
The iDOLM@STER,10278,TV,25,7.75,81155
Trapp Ikka Monogatari,2557,TV,40,7.75,2839
Utawarerumono Specials,1830,Special,6,7.75,11149
World Trigger,24405,TV,73,7.75,106872
Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,4416,TV,12,7.75,1780
Bishoujo Senshi Sailor Moon R,740,TV,43,7.74,73305
Black Jack (TV),2213,TV,61,7.74,15552
Cardcaptor Sakura Movie 1,371,Movie,1,7.74,56327
Detective Conan: Black History,7303,Special,1,7.74,3603
Fullmetal Alchemist: The Conqueror of Shamballa,430,Movie,1,7.74,186465
Genshiken OVA,1813,OVA,3,7.74,35493
Hal,16528,Movie,1,7.74,50812
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?,9288,Movie,1,7.74,3309
Higashi no Eden Movie I: The King of Eden,6372,Movie,1,7.74,101734
Hungry Heart: Wild Striker,17,TV,52,7.74,13469
Initial D Battle Stage 2,3931,OVA,1,7.74,11015
Kekkai Sensen,24439,TV,12,7.74,220573
Love Stage!! OVA,23441,OVA,1,7.74,23631
Mahou Shoujo Lyrical Nanoha StrikerS,1915,TV,26,7.74,35442
Mousou Dairinin,323,TV,13,7.74,137687
Muumindani no Suisei,2313,Movie,1,7.74,4344
Noein: Mou Hitori no Kimi e,584,TV,24,7.74,56244
Persona 3 the Movie 3: Falling Down,24543,Movie,1,7.74,19928
Sengoku Basara Two,6634,TV,12,7.74,42798
Shakugan no Shana,355,TV,24,7.74,297058
Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,30549,TV,13,7.74,6787
Taiyou no Ko Esteban,1279,TV,39,7.74,5424
Toriko,10033,TV,147,7.74,54790
UN-GO: Inga-ron,11531,Movie,1,7.74,23340
Crayon Shin-chan,966,TV,Unknown,7.73,26267
Diamond no Ace OVA,25341,OVA,3,7.72,7376
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,10534,Movie,1,7.73,1317
Flip Flappers,32979,TV,13,7.73,40945
GetBackers,132,TV,49,7.73,73536
K,14467,TV,13,7.73,297051
Katekyo Hitman Reborn! Special,8532,ONA,1,7.73,19991
Kekkaishi,1606,TV,52,7.73,61884
Kuroshitsuji II Specials,9136,Special,6,7.73,60899
Lady Lady!!,2227,TV,21,7.73,2681
Mitsudomoe,7627,TV,13,7.73,56483
Prison School OVA,32485,OVA,1,7.73,30887
Shakugan no Shana III (Final),6773,TV,24,7.73,133010
Uchuu Senkan Yamato,1650,TV,26,7.73,10688
Wakakusa Monogatari: Nan to Jo-sensei,2558,TV,40,7.73,2577
Zero no Tsukaima: Futatsuki no Kishi,1840,TV,12,7.73,235684
Ansatsu Kyoushitsu: 365-nichi no Jikan,33513,Movie,1,7.72,14896
Daicon Opening Animations,2724,Special,2,7.72,7174
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,905,Movie,1,7.72,56994
Durarara!!x2 Ketsu: Dufufufu!!,32915,Special,1,7.72,13126
Future GPX Cyber Formula Sin,1395,OVA,5,7.72,1070
Ie Naki Ko Remi Specials,10471,Special,3,7.72,781
Inazuma Eleven,5231,TV,127,7.72,42677
Kara no Kyoukai 6: Boukyaku Rokuon,5204,Movie,1,7.72,93803
Kyoukaisenjou no Horizon II,12487,TV,13,7.72,46781
Mobile Police Patlabor: On Television,324,TV,47,7.72,16130
Mujin Wakusei Survive,709,TV,52,7.72,11684
New Prince of Tennis OVA vs. Genius10,21755,OVA,10,7.72,6238
Noblesse: Awakening,32668,ONA,1,7.72,28864
Ouritsu Uchuugun: Honneamise no Tsubasa,1034,Movie,1,7.72,18469
Tanaka-kun wa Itsumo Kedaruge Specials,33157,Special,Unknown,7.72,5400
Toradora! OVA,23701,OVA,1,7.72,25154
Towa no Quon 5: Souzetsu no Raifuku,10716,Movie,1,7.72,18060
Urusei Yatsura Movie 5: Final,1924,Movie,1,7.72,2783
Zhen Hun Jie,33350,ONA,24,7.72,2480
Aa! Megami-sama!: Tatakau Tsubasa,3090,Special,2,7.71,18465
Arakawa Under the Bridge,7647,TV,13,7.71,162622
Bishoujo Senshi Sailor Moon,530,TV,46,7.71,146521
Evangelion: 3.0 You Can (Not) Redo,3785,Movie,1,7.71,135318
Fullmetal Alchemist: Brotherhood - 4-Koma Theater,7902,Special,16,7.71,31262
Gakkou no Kaidan,1281,TV,19,7.71,42033
Gakkougurashi!,24765,TV,12,7.71,140094
Gensoumaden Saiyuuki,129,TV,50,7.71,31179
Giant Killing,7661,TV,26,7.71,36947
Hetalia: The World Twinkle Extra Disc,31997,OVA,1,7.71,2152
High School DxD BorN,24703,TV,12,7.71,192171
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,10999,Movie,1,7.71,4535
Mainichi Kaasan,6116,TV,142,7.71,1707
Mirai Nikki Redial,16762,OVA,1,7.71,135604
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,18849,Special,1,7.71,14703
Ojiisan no Lamp,10500,Movie,1,7.71,11745
Pokemon Black and White 2: Introduction Movie,14123,ONA,1,7.71,8554
Prince of Tennis: Another Story II - Ano Toki no Bokura,10573,OVA,4,7.71,6005
Seitokai Yakuindomo,8675,TV,13,7.71,217617
Shounen Onmyouji,1557,TV,26,7.71,33321
Sukitte Ii na yo.,14289,TV,13,7.71,233410
Toaru Majutsu no Index: Endymion no Kiseki,11743,Movie,1,7.71,54873
Tokyo Ghoul: &quot;Jack&quot;,30458,OVA,1,7.71,70635
Ushio to Tora (TV),29854,TV,26,7.71,90931
Ano Natsu de Matteru,11433,TV,12,7.70,169718
Arslan Senki (TV): Fuujin Ranbu,31821,TV,8,7.70,53577
Boku wa Tomodachi ga Sukunai Next,14967,TV,12,7.70,214319
Fairy Tail Movie 1: Houou no Miko,12049,Movie,1,7.70,77560
Final Fantasy VII: Advent Children - Venice Film Festival Footage,6152,Movie,1,7.70,6498
Future GPX Cyber Formula Zero,1393,OVA,8,7.70,1113
Ghost in the Shell: Arise - Border:2 Ghost Whispers,19191,Movie,1,7.70,24880
High School DxD,11617,TV,12,7.70,398660
Hourou Musuko Specials,10935,Special,2,7.70,4714
Ike! Ina-chuu Takkyuubu,914,TV,26,7.70,7988
Imawa no Kuni no Alice (OVA),24781,OVA,3,7.70,18351
Isshuukan Friends.,21327,TV,12,7.70,139601
Kamisama no Memochou,10568,TV,12,7.70,130502
Kimagure Orange☆Road,1087,TV,48,7.70,16012
Ling Qi,33605,ONA,20,7.69,2673
Love Live! School Idol Project,15051,TV,13,7.70,155281
Oda Nobuna no Yabou,11933,TV,12,7.70,133216
Pokemon XY: Mega Evolution,23301,Special,4,7.70,10227
Ranma ½: Akumu! Shunmin Kou,5493,OVA,1,7.70,7064
Shingeki no Kyojin Movie 1: Guren no Yumiya,23775,Movie,1,7.70,31990
Strike Witches Movie,9751,Movie,1,7.70,23856
Tsubasa Chronicle 2nd Season,969,TV,26,7.70,79166
Uchuu Patrol Luluco,32681,TV,13,7.70,50236
Waga Seishun no Arcadia,2202,Movie,1,7.70,4415
Yondemasu yo  Azazel-san.,7762,OVA,4,7.70,18400
Yuru Yuri,10495,TV,12,7.70,148140
Aa! Megami-sama!: Sorezore no Tsubasa,880,TV,22,7.69,42026
Aikatsu!,15061,TV,178,7.69,16990
Air Gear,857,TV,25,7.69,194611
Chuuka Ichiban!,110,TV,52,7.69,8586
Gugure! Kokkuri-san,23251,TV,12,7.69,87824
Hanbun no Tsuki ga Noboru Sora,587,TV,6,7.69,65125
Initial D: Project D to the Next Stage - Project D e Mukete,12725,Special,1,7.69,3150
Inu x Boku SS,11013,TV,12,7.69,216204
InuYasha: Toki wo Koeru Omoi,452,Movie,1,7.69,51354
Kiniro no Corda: Primo Passo,1579,TV,25,7.69,63134
Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,32869,Movie,1,7.69,7573
Kuroshitsuji Special,6793,Special,1,7.69,53706
Layton Kyouju to Eien no Utahime,6172,Movie,1,7.69,12867
Love Stage!!,21105,TV,10,7.69,83397
Macross Zero,194,OVA,5,7.69,23568
Moyashimon,3001,TV,11,7.69,44465
Nodame Cantabile OVA 2,8190,OVA,1,7.69,17226
Saenai Heroine no Sodatekata,23277,TV,12,7.69,155795
Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,2498,Movie,1,7.69,7834
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,25729,Movie,1,7.69,4467
Toaru Majutsu no Index,4654,TV,24,7.69,313114
Tonari no Seki-kun,18139,TV,21,7.69,82568
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,16005,TV,12,7.69,61919
Ajin OVA,32015,OVA,3,7.68,15613
Amagi Brilliant Park,22147,TV,13,7.68,217003
Ashita no Nadja,1946,TV,50,7.68,13742
Basilisk: Kouga Ninpou Chou,67,TV,24,7.68,98144
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,32365,Special,1,7.68,16868
Btooom!,14345,TV,12,7.68,329561
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,11359,Special,1,7.68,17166
Kaleido Star: Aratanaru Tsubasa - Extra Stage,428,OVA,1,7.68,9248
Mahou Sensei Negima! Shiroki Tsubasa Ala Alba,4188,OVA,3,7.68,15616
Mutsu Enmei Ryuu Gaiden: Shura no Toki,340,TV,26,7.68,13959
Persona 4 the Animation,10588,TV,25,7.68,134942
Sora no Otoshimono,5958,TV,13,7.68,227681
Aura: Maryuuin Kouga Saigo no Tatakai,14669,Movie,1,7.67,22599
City Hunter: Goodbye My Sweetheart,1478,Special,1,7.67,2832
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,8331,OVA,1,7.67,6460
Fantastic Children,455,TV,26,7.67,17773
Free!,18507,TV,12,7.67,265791
Ghost in the Shell (2015),27411,Movie,1,7.67,19872
Grisaia no Kajitsu,17729,TV,13,7.67,178166
Haiyore! Nyaruko-san F,26023,OVA,1,7.67,19620
Hetalia: The Beautiful World Extra Disc,21075,OVA,1,7.67,4788
Jewelpet Twinkle☆,8217,TV,52,7.67,4110
Juubee Ninpuuchou,617,Movie,1,7.67,55697
Kiznaiver,31798,TV,12,7.67,197912
Kore wa Zombie Desu ka?,8841,TV,12,7.67,295782
Mitsudomoe Special,9396,Special,1,7.67,11354
New Prince of Tennis,11371,TV,13,7.67,30630
Sakamoto desu ga?,32542,TV,12,7.67,171452
Tales of Symphonia The Animation: Tethe&#039;alla-hen,5306,OVA,4,7.67,20355
Tatakae! Chou Robot Seimeitai Transformers,2268,TV,98,7.67,5652
Tsubasa Chronicle,177,TV,26,7.67,134705
Aldnoah.Zero,22729,TV,12,7.66,244193
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,4835,Movie,1,7.66,122373
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,8888,Movie,1,7.66,91105
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,5348,OVA,1,7.66,7726
Detective Conan: Conan vs. Kid - Jet Black Sniper,9786,Movie,1,7.66,2119
Digimon Adventure tri. 1: Saikai,25687,Movie,1,7.66,58274
Durarara!!x2 Ten: Onoroke Chakapoko,31552,Special,1,7.66,16171
Girls und Panzer,14131,TV,12,7.66,104275
Heroic Age,2002,TV,26,7.66,62530
Kareshi Kanojo no Jijou,145,TV,26,7.66,94165
Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,5290,Movie,1,7.66,2430
Konjiki no Gash Bell!!,250,TV,150,7.66,51403
Log Horizon 2nd Season,23321,TV,25,7.66,215817
Mobile Suit Gundam Seed: Seed Supernova - Tanekyara Gekijou,2743,Special,4,7.66,5508
Mobile Suit Gundam Wing: Operation Meteor,3626,OVA,4,7.66,6768
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,10020,ONA,4,7.66,101495
Plawres Sanshirou,1873,TV,37,7.66,1718
Pokemon: Mewtwo no Gyakushuu,528,Movie,1,7.66,100089
Shion no Ou,2562,TV,22,7.66,20553
Slam Dunk: Zenkoku Seiha Da! Sakuragi Hanamichi,1861,Movie,1,7.66,7992
Tales of Symphonia The Animation: Sekai Tougou-hen,8995,OVA,3,7.66,14036
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,17437,Movie,1,7.66,12262
Udon no Kuni no Kiniro Kemari,32673,TV,12,7.66,33885
UFO Robo Grendizer,1985,TV,74,7.66,4381
Aa! Megami-sama! Movie,304,Movie,1,7.65,29330
Acchi Kocchi (TV),12291,TV,12,7.65,127973
Area 88,1488,OVA,3,7.65,6645
Darker than Black: Kuro no Keiyakusha Special,4182,Special,1,7.65,87609
Detective Conan: Black History 2,9839,Special,1,7.65,2718
Digimon Tamers,874,TV,51,7.65,94391
Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,2673,Movie,1,7.65,1583
Flying Witch,31376,TV,12,7.65,95933
Fushigi no Umi no Nadia,1251,TV,39,7.65,24229
High School DxD BorN: Yomigaeranai Fushichou,32215,OVA,1,7.66,22497
Jigoku Sensei Nube,2012,TV,49,7.65,8908
Kappa no Coo to Natsuyasumi,2848,Movie,1,7.65,6953
Majokko Shimai no Yoyo to Nene,15813,Movie,1,7.65,8698
Minami-ke Okaeri,5162,TV,13,7.65,45233
New Prince of Tennis Specials,13245,Special,7,7.65,5524
Nijuu Mensou no Musume,3673,TV,22,7.65,21009
Non Non Biyori: Okinawa e Ikukoto ni Natta,21667,OVA,1,7.65,25169
One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku  Kiseki no Sakura,3848,Movie,1,7.65,29771
Owari no Seraph,26243,TV,12,7.65,315630
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,5419,Special,1,7.65,6929
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,46,Movie,1,7.65,33191
Yondemasu yo  Azazel-san. Z,16241,TV,13,7.65,20640
Aa! Megami-sama!: Sorezore no Tsubasa Specials,2198,Special,2,7.64,16986
Bishoujo Senshi Sailor Moon SuperS,1239,TV,39,7.64,55056
CLAMP in Wonderland 2,2768,Music,1,7.64,13985
Detective Conan OVA 04: Conan and Kid and Crystal Mother,2514,OVA,1,7.64,8974
Future GPX Cyber Formula Saga,1394,OVA,8,7.64,1040
Ghost in the Shell: Arise - Border:1 Ghost Pain,17187,Movie,1,7.64,31747
Hakuouki OVA,11663,OVA,2,7.64,7791
Hellsing,270,TV,13,7.64,308995
Hokuto no Ken 2,1356,TV,43,7.64,11090
Junjou Romantica Special,6553,Special,1,7.64,17378
Kaitou Saint Tail,1567,TV,43,7.64,8794
Kore wa Zombie Desu ka? of the Dead OVA,15437,OVA,1,7.64,54828
Little Busters!,13655,TV,26,7.64,138655
Marmalade Boy,334,TV,76,7.64,24745
Ningen Shikkaku: Director&#039;s Cut-ban,7651,Movie,1,7.64,4292
Omoide Poroporo,1029,Movie,1,7.64,39589
R.O.D the TV,209,TV,26,7.64,47053
Saint☆Oniisan,15775,OVA,2,7.64,33668
Sayonara Zetsubou Sensei Special,10469,Special,1,7.63,9669
Suisei no Gargantia,16524,TV,13,7.64,170754
Towa no Quon 3: Mugen no Renza,10714,Movie,1,7.64,19053
Watashi ga Motete Dousunda,32899,TV,12,7.64,57638
Yondemasu yo  Azazel-san. (TV),10216,TV,13,7.64,42147
&quot;Bungaku Shoujo&quot; Movie,6408,Movie,1,7.63,40984
Amaama to Inazuma,32828,TV,12,7.63,95339
Angel Beats!: Another Epilogue,10067,Special,1,7.63,134180
Hakuouki Reimeiroku,13115,TV,12,7.63,29485
Hokuto no Ken: Raoh Gaiden Gekitou-hen,2174,Movie,1,7.63,4614
Initial D Battle Stage,821,OVA,1,7.63,13633
Konnichiwa Anne: Before Green Gables,5494,TV,39,7.63,2723
Kuruneko,6604,TV,50,7.63,2526
Love Live! Sunshine!!,32526,TV,13,7.63,45246
Mardock Scramble: The First Compression,8100,Movie,1,7.63,40698
Medaka Box Abnormal,14527,TV,12,7.63,66972
Patalliro!,2835,TV,49,7.63,2409
Perrine Monogatari,2549,TV,53,7.63,1744
Prince of Tennis: Atobe&#039;s Gift,814,Movie,1,7.63,10567
Rokka no Yuusha,28497,TV,12,7.63,218747
Saki Achiga-hen: Episode of Side-A Specials,15989,Special,4,7.63,9163
Shin Kimagure Orange☆Road: Soshite  Ano Natsu no Hajimari,2098,Movie,1,7.63,4199
Sora no Otoshimono: Project Pink,7858,OVA,1,7.63,61903
Suzumiya Haruhi-chan no Yuuutsu,5118,ONA,25,7.63,70416
Uchuu Senkan Yamato 2,1651,TV,26,7.63,3461
Yawara!,691,TV,124,7.63,6437
Accel World,11759,TV,24,7.62,324284
Acchi Kocchi (TV): Place=Princess,16273,Special,1,7.62,26246
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,1240,Movie,1,7.62,24968
Cardcaptor Sakura Specials,2424,Special,3,7.62,18604
Darker than Black: Ryuusei no Gemini,6573,TV,12,7.62,222243
Donten ni Warau,21743,TV,12,7.62,57649
Dragon Ball Z Movie 08: Moetsukiro!! Nessen  Ressen  Chougekisen,901,Movie,1,7.62,65953
Dragon Ball Z Movie 14: Kami to Kami,14837,Movie,1,7.62,66471
Fate/kaleid liner Prisma☆Illya 3rei!!,31706,TV,12,7.62,30457
Gallery Fake,364,TV,37,7.62,6806
Grimm Masterpiece Theater,4060,TV,24,7.62,1938
Hello!! Kiniro Mosaic,23269,TV,12,7.63,33295
Hidamari Sketch Specials,3165,Special,2,7.62,13334
InuYasha: Guren no Houraijima,449,Movie,1,7.62,50008
Kuroko no Basket Movie 2: Winter Cup Soushuuhen - Namida no Saki e,32870,Movie,1,7.61,5470
Metropolis,522,Movie,1,7.62,44030
Mobile Fighter G Gundam,96,TV,49,7.62,36338
Naruto: Shippuuden Movie 5 - Blood Prison,10589,Movie,1,7.62,75660
Shigofumi,3420,TV,12,7.62,54000
Shinryaku!? Ika Musume,10378,TV,12,7.62,45613
Shokugeki no Souma OVA,31327,OVA,3,7.62,24456
Shoubushi Densetsu Tetsuya,3369,TV,20,7.62,3735
So Ra No Wo To Specials,8197,Special,2,7.62,16491
Sweat Punch,1072,OVA,5,7.62,26679
Yozakura Quartet: Tsuki ni Naku,18499,OVA,3,7.62,13790
Yuusha Keisatsu J-Decker,5075,TV,48,7.62,1116
Zero no Tsukaima,1195,TV,13,7.62,346828
Aa! Megami-sama! (TV) Specials,1003,Special,3,7.61,19257
Amagami SS+ Plus,11235,TV,13,7.61,73813
Ayakashi: Japanese Classic Horror,586,TV,11,7.61,34938
Casshern Sins,4981,TV,24,7.61,80307
Digimon Adventure Movie,2961,Movie,1,7.61,60753
Freedom,1747,OVA,7,7.61,13918
Gokudou-kun Manyuuki,2409,TV,26,7.61,8131
Golgo 13 (TV),4039,TV,50,7.61,18687
Kimagure Orange☆Road OVA,2458,OVA,8,7.61,3542
Lady Jewelpet,22693,TV,52,7.61,3085
Magic Knight Rayearth II,1563,TV,29,7.61,19209
Mobile Police Patlabor: The New Files,1289,OVA,16,7.61,3952
Motto To LOVE-Ru,9181,TV,12,7.61,134988
Planetarian: Chiisana Hoshi no Yume,33091,ONA,5,7.61,38303
Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana,9979,Movie,1,7.61,2842
Salaryman Kintarou,1608,TV,20,7.61,4151
Sekirei: Pure Engagement,5277,TV,13,7.61,113911
Senyuu. 2,18523,TV,13,7.61,30726
Seto no Hanayome OVA Specials,7041,Special,2,7.61,7011
Shugo Chara!,2923,TV,51,7.61,121108
Snow Halation,9930,Music,1,7.61,8731
Tokyo Ghoul: &quot;Pinto&quot;,31297,OVA,1,7.61,52312
Urusei Yatsura OVA,1919,OVA,11,7.61,2470
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,18753,OVA,1,7.61,80676
Yozakura Quartet: Hana no Uta,18497,TV,13,7.61,58245
Yu☆Gi☆Oh! Arc-V,21639,TV,Unknown,7.61,17571
Akage no Anne,283,TV,50,7.60,9460
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,2889,Movie,1,7.60,134739
Chuunibyou demo Koi ga Shitai! Ren,18671,TV,12,7.60,208885
Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,16934,Special,1,7.60,72085
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,1479,Special,1,7.60,2506
Detective Conan Movie 11: Jolly Roger in the Deep Azure,2171,Movie,1,7.60,18847
Fune wo Amu,32948,TV,11,7.60,28620
Ganbare Genki,3213,TV,35,7.60,805
Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,19195,Movie,1,7.60,19565
Gochuumon wa Usagi Desu ka?,21273,TV,12,7.60,82999
Hottarake no Shima: Haruka to Mahou no Kagami,5998,Movie,1,7.60,6517
Jibaku-kun,2330,TV,26,7.60,6036
Kamichu! Specials,3449,Special,4,7.60,6978
Kidou Senkan Nadesico,218,TV,26,7.60,27976
On Your Mark,1047,Music,1,7.60,13661
One More Time  One More Chance,22539,Music,1,7.60,5660
One Piece: Romance Dawn,16287,OVA,1,7.60,8326
Otome Youkai Zakuro,8476,TV,13,7.60,61957
Persona 4 the Animation: No One is Alone,13587,Special,1,7.60,26501
Pretty Rhythm: Aurora Dream,10257,TV,51,7.60,9431
Prince of Tennis: Eikokushiki Teikyuu Shiro Kessen!,10731,Movie,1,7.60,6162
Psycho-Pass 2,23281,TV,11,7.60,228435
Samurai 7,166,TV,26,7.60,74991
Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,8317,Special,1,7.60,6752
Shinryaku! Ika Musume,8557,TV,12,7.60,95242
Shonan Junai Gumi!,1913,OVA,5,7.60,20261
Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,25801,OVA,2,7.60,3208
So Ra No Wo To,6802,TV,12,7.60,84390
Tales of Zestiria the X,30911,TV,12,7.60,107325
Tenshi na Konamaiki,200,TV,50,7.60,15077
Toshokan Sensou,3613,TV,12,7.60,38882
Zero no Tsukaima: Princesses no Rondo,3712,TV,12,7.60,210891
Acchi Kocchi,22419,Movie,1,7.59,3433
Afro Samurai Movie,13709,Movie,1,7.59,21622
City Hunter: Ai to Shukumei no Magnum,1474,Movie,1,7.59,3368
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,15199,Movie,1,7.59,45069
Doraemon (2005),8687,TV,Unknown,7.59,2980
Hikaru no Go Special,10765,OVA,1,7.59,4253
Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,9023,Special,3,7.59,12153
Kemonozume,1454,TV,13,7.59,33086
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,3392,Special,1,7.59,17967
Kyou kara Maou! R,2971,OVA,5,7.59,14845
Mai-HiME,98,TV,26,7.59,76492
Mikakunin de Shinkoukei,20541,TV,12,7.59,133385
Mobile Police Patlabor: The Movie,1095,Movie,1,7.59,14779
Mugen no Ryvius,593,TV,26,7.59,22714
Noblesse: Pamyeol-ui Sijak,32566,OVA,1,7.59,12418
One Piece: Straw Hat Theater,2680,Special,5,7.59,17153
Osomatsu-san Special,32026,Special,1,7.59,5005
Patapata Hikousen no Bouken,708,TV,26,7.59,2629
Perfect Day,10445,Music,1,7.59,7743
Rakuen Tsuihou: Expelled from Paradise,13391,Movie,1,7.59,46678
Shinreigari: Ghost Hound,2596,TV,22,7.59,78469
Shoujo Kakumei Utena: Adolescence Mokushiroku,441,Movie,1,7.59,22219
Shugo Chara!! Doki,5262,TV,51,7.59,60384
Taiho Shichau zo (1996),1372,TV,47,7.59,12156
Tetsujin 28-gou (2004),2337,TV,26,7.59,1826
Yamada-kun to 7-nin no Majo (OVA),24627,OVA,2,7.59,33816
Aishiteruze Baby★★,102,TV,26,7.58,63959
Aoki Hagane no Arpeggio: Ars Nova DC,24919,Movie,1,7.58,11943
Bleach Movie 1: Memories of Nobody,1686,Movie,1,7.58,151598
Brave Story,1681,Movie,1,7.58,24523
Candy Candy,2800,TV,115,7.58,11893
Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,27601,Special,1,7.58,31808
Cross Road,22839,Special,1,7.58,23038
Fate/stay night,356,TV,24,7.58,374880
Fate/stay night Movie: Unlimited Blade Works,6922,Movie,1,7.58,110983
Grimm Masterpiece Theater II,4061,TV,23,7.58,1169
Hetalia: The World Twinkle,28607,ONA,15,7.58,15872
Level E,9834,TV,13,7.58,55252
Naruto x UT,10075,OVA,1,7.58,23465
Shin Chou Kyou Ryo: Condor Hero III,5854,TV,26,7.58,1377
Taiyou no Kiba Dagram,2257,TV,75,7.58,1825
The iDOLM@STER: 765 Pro to Iu Monogatari,11889,Special,1,7.58,13342
Uchuu no Kishi Tekkaman Blade,1459,TV,49,7.58,8546
Amagami SS,8676,TV,25,7.57,157223
Boku wa Tomodachi ga Sukunai,10719,TV,12,7.57,325664
Chobits,59,TV,26,7.57,266846
Chrome Shelled Regios,4186,TV,24,7.57,103615
Dareka no Manazashi,17121,Movie,1,7.57,28138
Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata,6231,OVA,1,7.57,7187
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,7045,Movie,1,7.57,1970
Hakkenden: Touhou Hakken Ibun,15613,TV,13,7.57,61017
Hakuouki,6895,TV,12,7.57,90612
Heppoko Jikken Animation Excel♥Saga,379,TV,26,7.57,68198
Kore wa Zombie Desu ka? OVA,10209,OVA,2,7.57,73826
Mardock Scramble: The Third Exhaust,12053,Movie,1,7.57,20459
